period,gross-generation
2002-01,0.0
2002-02,17393.94
2002-03,32505.05
2002-04,28478.79
2002-05,30808.08
2002-06,30876.77
2002-07,14787.88
2002-08,6203.03
2002-09,7277.78
2002-10,10815.15
2002-11,15992.93
2002-12,0.0
2003-01,14091.92
2003-02,10341.41
2003-03,16261.62
2003-04,30532.32
2003-05,29350.51
2003-06,18921.21
2003-07,10068.69
2003-08,17765.66
2003-09,12175.76
2003-10,19538.38
2003-11,22047.48
2003-12,21287.88
2004-01,16596.46
2004-02,10306.82
2004-03,28381.0
2004-04,33348.14
2004-05,29405.47
2004-06,20067.25
2004-07,16248.76
2004-08,20737.81
2004-09,18632.99
2004-10,6519.37
2004-11,14677.9
2004-12,22706.04
2005-01,26757.98
2005-02,21744.12
2005-03,23757.67
2005-04,29782.72
2005-05,22066.48
2005-06,19770.28
2005-07,16786.1
2005-08,13235.62
2005-09,11433.41
2005-10,23255.86
2005-11,25538.11
2005-12,27009.67
2006-01,28231.51
2006-02,25456.47
2006-03,22427.51
2006-04,24411.61
2006-05,28862.65
2006-06,28359.43
2006-07,29738.74
2006-08,29523.84
2006-09,19164.47
2006-10,16894.83
2006-11,19789.43
2006-12,20955.51
2007-01,1835.23
2007-02,1162.51
2007-03,1590.76
2007-04,2048.76
2007-05,1834.92
2007-06,930.53
2007-07,1284.99
2007-08,635.09
2007-09,445.74
2007-10,1137.42
2007-11,1834.89
2007-12,1893.16
2008-01,27734.89
2008-02,25597.96
2008-03,30559.68
2008-04,30610.43
2008-05,23466.68
2008-06,21098.59
2008-07,19700.28
2008-08,26483.18
2008-09,7025.34
2008-10,15945.16
2008-11,26872.22
2008-12,27661.59
2009-01,22558.21
2009-02,22327.22
2009-03,36089.49
2009-04,33493.87
2009-05,32533.42
2009-06,23786.12
2009-07,31305.52
2009-08,18157.2
2009-09,6875.06
2009-10,12947.72
2009-11,21834.84
2009-12,28667.35
2010-01,21292.65
2010-02,19079.56
2010-03,27811.3
2010-04,34100.8
2010-05,27081.64
2010-06,20894.65
2010-07,14388.06
2010-08,11210.15
2010-09,5921.66
2010-10,28028.38
2010-11,33087.72
2010-12,21449.43
2011-01,22524.46
2011-02,16464.32
2011-03,33821.52
2011-04,31719.15
2011-05,34543.41
2011-06,30079.05
2011-07,7788.89
2011-08,5952.49
2011-09,19909.16
2011-10,30262.69
2011-11,18174.08
2011-12,29559.79
2012-01,21058.82
2012-02,18325.91
2012-03,29555.07
2012-04,26105.88
2012-05,28409.02
2012-06,15499.33
2012-07,7631.2
2012-08,5438.27
2012-09,7262.04
2012-10,22331.6
2012-11,18166.12
2012-12,26860.74
2013-01,22862.61
2013-02,16531.43
2013-03,21461.01
2013-04,30547.44
2013-05,21311.79
2013-06,28207.88
2013-07,26705.03
2013-08,13749.54
2013-09,13163.32
2013-10,9917.79
2013-11,20885.45
2013-12,24061.7
2014-01,27180.02
2014-02,15401.36
2014-03,14274.59
2014-04,31392.3
2014-05,35643.89
2014-06,21500.32
2014-07,15152.42
2014-08,12479.62
2014-09,4913.24
2014-10,15827.17
2014-11,16128.52
2014-12,27507.57
2015-01,16761.73
2015-02,11107.17
2015-03,11752.28
2015-04,28844.98
2015-05,23880.41
2015-06,31240.32
2015-07,23925.29
2015-08,9648.65
2015-09,5609.68
2015-10,11589.6
2015-11,15521.99
2015-12,25899.9
2016-01,24053.62
2016-02,25013.17
2016-03,33749.23
2016-04,31600.54
2016-05,12656.7
2016-06,13563.27
2016-07,9766.26
2016-08,7605.79
2016-09,2719.72
2016-10,1118.5
2016-11,4521.09
2016-12,17525.11
2017-01,18134.29
2017-02,18050.07
2017-03,22236.76
2017-04,30926.94
2017-05,32356.59
2017-06,24721.1
2017-07,20586.55
2017-08,12947.05
2017-09,9764.92
2017-10,9395.98
2017-11,22244.78
2017-12,17231.98
2018-01,21376.85
2018-02,22876.48
2018-03,25350.86
2018-04,30392.47
2018-05,24804.57
2018-06,11316.84
2018-07,9779.72
2018-08,13480.59
2018-09,12932.51
2018-10,19275.58
2018-11,26527.36
2018-12,28416.18
2019-01,28458.4
2019-02,26431.68
2019-03,27897.52
2019-04,30249.41
2019-05,32135.06
2019-06,22894.38
2019-07,13903.17
2019-08,7819.56
2019-09,6949.0
2019-10,15166.0
2019-11,18496.84
2019-12,25087.98
2020-01,25612.94
2020-02,21828.88
2020-03,29788.33
2020-04,32139.94
2020-05,28963.81
2020-06,9586.65
2020-07,12176.7
2020-08,6583.43
2020-09,3747.66
2020-10,13938.59
2020-11,16435.82
2020-12,22169.25
2021-01,22748.95
2021-02,14612.31
2021-03,22506.22
2021-04,27766.51
2021-05,21301.24
2021-06,9440.44
2021-07,18802.86
2021-08,13164.6
2021-09,15158.45
2021-10,16268.07
2021-11,22977.8
2021-12,22549.56
2022-01,17108.57
2022-02,21160.25
2022-03,31034.91
2022-04,35546.09
2022-05,25904.05
2022-06,12216.05
2022-07,6953.63
2022-08,6093.73
2022-09,11386.65
2022-10,14923.53
2022-11,16574.7
2022-12,23987.85
2023-01,32422.0
2023-02,23364.0
2023-03,24666.0
2023-04,29946.0
2023-05,24495.0
2023-06,18507.0
2023-07,28719.0
2023-08,29082.0
2023-09,21681.0
2023-10,21036.0
2023-11,23739.0
2023-12,27200.0
2024-01,34316.0
2024-02,24588.0
2024-03,30491.0
2024-04,28369.0
2024-05,27663.0
2024-06,16579.0
2024-07,23114.0
2024-08,25464.0
2024-09,11146.0
2024-10,9965.0
2024-11,11504.0
2024-12,21622.0
