period,gross-generation
2001-01,20095.96
2001-02,18547.48
2001-03,15871.72
2001-04,56043.43
2001-05,38553.54
2001-06,24511.11
2001-07,16598.99
2001-08,8757.58
2001-09,6037.37
2001-10,6477.78
2001-11,11556.57
2001-12,15747.48
2002-01,17527.27
2002-02,21352.53
2002-03,37616.16
2002-04,67430.3
2002-05,50292.93
2002-06,51534.34
2002-07,15840.4
2002-08,10121.21
2002-09,8280.81
2002-10,12944.44
2002-11,14406.06
2002-12,14406.06
2003-01,14659.6
2003-02,11511.11
2003-03,21201.01
2003-04,39676.77
2003-05,42441.41
2003-06,16449.5
2003-07,8065.66
2003-08,11963.64
2003-09,8444.44
2003-10,30182.83
2003-11,54460.61
2003-12,51318.18
2004-01,30086.87
2004-02,14827.27
2004-03,22853.54
2004-04,60112.12
2004-05,37424.24
2004-06,13337.37
2004-07,13695.96
2004-08,21732.32
2004-09,32156.57
2004-10,10908.08
2004-11,14507.07
2004-12,24102.02
2005-02,11655.0
2005-03,15523.0
2005-04,74637.0
2005-05,51722.0
2005-06,42387.0
2005-07,21388.0
2005-08,8090.0
2005-09,13631.0
2005-10,59501.0
2005-11,60856.0
2005-12,36692.0
2006-01,51046.0
2006-02,34496.0
2006-03,29288.0
2006-04,40620.0
2006-05,44301.0
2006-06,50283.0
2006-07,27331.0
2006-08,31206.0
2006-09,12977.0
2006-10,34790.0
2006-11,39996.0
2006-12,36198.0
2007-01,35056.0
2007-02,15379.0
2007-03,28349.0
2007-04,65960.0
2007-05,54783.0
2007-06,20552.0
2007-07,18621.0
2007-08,15381.0
2007-09,12270.0
2007-10,24996.0
2007-11,41273.0
2007-12,25537.0
2008-02,21827.0
2008-03,40213.0
2008-04,82225.0
2008-05,35621.0
2008-06,40611.0
2008-07,42186.0
2008-08,58518.0
2008-09,17492.0
2008-10,17236.0
2008-11,29584.0
2008-12,33048.0
2009-01,27881.0
2009-02,17413.0
2009-03,39671.0
2009-04,60306.0
2009-05,48073.0
2009-06,24258.0
2009-07,44110.0
2009-08,27838.0
2009-09,8813.0
2009-10,20754.0
2009-11,32380.0
2009-12,39174.0
2010-01,25762.0
2010-02,22413.0
2010-03,48556.0
2010-04,59856.0
2010-05,34800.0
2010-06,22944.0
2010-07,11712.0
2010-08,17472.0
2010-09,9504.0
2010-10,50400.0
2010-11,39600.0
2010-12,34224.0
2011-01,23136.0
2011-02,17280.0
2011-03,34272.0
2011-04,68208.0
2011-05,82464.0
2011-06,27552.0
2011-07,13200.0
2011-08,15216.0
2011-09,30960.0
2011-10,41328.0
2011-11,15408.0
2011-12,30384.0
2012-01,22080.0
2012-02,19152.0
2012-03,49776.0
2012-04,29184.0
2012-05,47280.0
2012-06,27840.0
2012-07,16320.0
2012-08,9840.0
2012-09,11856.0
2012-10,23232.0
2012-11,21525.0
2012-12,27696.0
2013-01,22272.0
2013-02,26784.0
2013-03,27024.0
2013-04,49392.0
2013-05,29856.0
2013-06,36432.0
2013-07,34368.0
2013-08,13248.0
2013-09,18048.0
2013-10,17376.0
2013-11,22608.0
2013-12,26784.0
2014-01,36288.0
2014-02,18144.0
2014-03,16512.0
2014-04,66384.0
2014-05,68352.0
2014-06,27312.0
2014-07,21216.0
2014-08,22529.0
2014-09,10272.0
2014-10,17040.0
2014-11,18288.0
2014-12,32592.0
2015-01,21072.0
2015-02,17280.0
2015-03,13776.0
2015-04,61872.0
2015-05,36832.0
2015-06,61488.0
2015-07,27648.0
2015-08,15504.0
2015-09,9744.0
2015-10,21072.0
2015-11,20688.0
2015-12,37632.0
2016-01,24192.0
2016-02,33360.0
2016-03,49056.0
2016-04,52032.0
2016-05,32736.0
2016-06,13200.0
2016-07,12624.0
2016-08,11424.0
2016-09,8448.0
2016-10,8632.0
2016-11,13880.0
2016-12,31827.0
2017-01,28933.14
2017-02,28798.77
2017-03,35478.61
2017-04,49343.73
2017-05,51624.73
2017-06,39442.36
2017-07,32845.7
2017-08,20656.93
2017-09,15579.88
2017-10,14991.23
2017-11,35491.4
2017-12,27493.52
2018-01,30662.38
2018-02,32813.4
2018-03,36362.6
2018-04,43594.14
2018-05,35579.01
2018-06,16232.57
2018-07,14027.77
2018-08,19336.19
2018-09,18550.05
2018-10,27648.38
2018-11,38050.13
2018-12,40759.4
2019-01,46617.2
2019-02,43297.26
2019-03,45698.44
2019-04,49551.03
2019-05,52639.86
2019-06,37502.87
2019-07,22774.53
2019-08,12809.09
2019-09,11383.04
2019-10,24843.15
2019-11,30299.35
2019-12,41096.18
2020-01,37311.83
2020-02,31799.37
2020-03,43394.36
2020-04,46820.09
2020-05,42193.23
2020-06,13965.42
2020-07,17738.5
2020-08,9590.46
2020-09,5459.43
2020-10,20305.14
2020-11,23942.99
2020-12,32295.2
2021-01,23130.57
2021-02,14857.44
2021-03,22883.77
2021-04,28232.3
2021-05,21658.58
2021-06,9598.81
2021-07,19118.28
2021-08,13385.44
2021-09,15412.74
2021-10,16540.97
2021-11,23363.27
2021-12,22927.84
2022-01,24887.98
2022-02,30782.0
2022-03,45146.75
2022-04,51709.21
2022-05,37682.85
2022-06,17770.79
2022-07,10115.51
2022-08,8864.59
2022-09,16564.25
2022-10,21709.38
2022-11,24111.36
2022-12,34895.33
2023-01,39600.0
2023-02,25776.0
2023-03,27072.0
2023-04,57552.0
2023-05,26736.0
2023-06,19334.0
2023-07,58848.0
2023-08,32640.0
2023-09,23648.0
2023-10,24384.0
2023-11,26640.0
2023-12,44064.0
2024-01,36816.0
2024-02,25440.0
2024-03,66192.0
2024-04,47520.0
2024-05,48384.0
2024-06,21024.0
2024-07,43152.0
2024-08,34848.0
2024-09,14496.0
2024-10,15168.0
2024-11,14688.0
2024-12,33888.0
