period,gross-generation
2001-01,10225.25
2001-02,7996.97
2001-03,7934.34
2001-04,16832.32
2001-05,14463.64
2001-06,10071.72
2001-07,6841.41
2001-08,3275.76
2001-09,3057.58
2001-10,3456.57
2001-11,5792.93
2001-12,7032.32
2002-01,6728.28
2002-02,9168.69
2002-03,19001.01
2002-04,22322.22
2002-05,20758.59
2002-06,19145.46
2002-07,9706.06
2002-08,4971.72
2002-09,4851.52
2002-10,6796.97
2002-11,8340.4
2002-12,8340.4
2003-01,7826.26
2003-02,5660.61
2003-03,11031.31
2003-04,19581.82
2003-05,18286.87
2003-06,8938.38
2003-07,5603.03
2003-08,8623.23
2003-09,6806.06
2003-10,13327.27
2003-11,20720.2
2003-12,20548.49
2004-01,10223.5
2004-02,6349.05
2004-03,17482.83
2004-04,20542.62
2004-05,18113.91
2004-06,12361.52
2004-07,10009.31
2004-08,12774.59
2004-09,11478.01
2004-10,4015.97
2004-11,9041.66
2004-12,13987.03
2005-01,17040.44
2005-02,13847.43
2005-03,15129.73
2005-04,18966.7
2005-05,14052.72
2005-06,12590.42
2005-07,10689.98
2005-08,8428.91
2005-09,7281.21
2005-10,14810.16
2005-11,16263.58
2005-12,17200.72
2006-01,18389.35
2006-02,16581.76
2006-03,14608.77
2006-04,15901.16
2006-05,18800.47
2006-06,18472.68
2006-07,19371.13
2006-08,19231.15
2006-09,12483.29
2006-10,11004.91
2006-11,12890.38
2006-12,13649.94
2007-01,3307.02
2007-02,2094.81
2007-03,2866.51
2007-04,3691.81
2007-05,3306.48
2007-06,1676.8
2007-07,2315.52
2007-08,1144.41
2007-09,803.22
2007-10,2049.6
2007-11,3306.42
2007-12,3411.41
2008-01,18984.88
2008-02,17522.12
2008-03,20918.48
2008-04,20953.22
2008-05,16063.23
2008-06,14442.24
2008-07,13485.09
2008-08,18128.07
2008-09,4808.94
2008-10,10914.66
2008-11,18394.37
2008-12,18934.7
2009-01,14404.91
2009-02,14257.41
2009-03,23045.53
2009-04,21388.05
2009-05,20774.74
2009-06,15189.01
2009-07,19990.65
2009-08,11594.57
2009-09,4390.18
2009-10,8267.98
2009-11,13942.99
2009-12,18306.0
2010-01,13988.36
2010-02,12534.46
2010-03,18270.83
2010-04,22402.76
2010-05,17791.48
2010-06,13726.89
2010-07,9452.34
2010-08,7364.59
2010-09,3890.28
2010-10,18413.45
2010-11,21737.22
2010-12,14091.36
2011-01,13676.68
2011-02,9997.01
2011-03,20536.17
2011-04,19259.62
2011-05,20974.5
2011-06,18263.77
2011-07,4729.36
2011-08,3614.3
2011-09,12088.69
2011-10,18375.27
2011-11,11035.16
2011-12,17948.48
2012-01,13202.5
2012-02,11489.15
2012-03,18529.1
2012-04,16366.68
2012-05,17810.6
2012-06,9717.07
2012-07,4784.27
2012-08,3409.44
2012-09,4552.83
2012-10,14000.46
2012-11,11388.97
2012-12,16839.93
2013-01,14989.84
2013-02,10838.81
2013-03,14070.88
2013-04,20028.38
2013-05,13973.04
2013-06,18494.45
2013-07,17509.11
2013-08,9014.87
2013-09,8630.51
2013-10,6502.58
2013-11,13693.51
2013-12,15776.02
2014-01,17212.99
2014-02,9753.61
2014-03,9040.03
2014-04,19880.61
2014-05,22573.12
2014-06,13616.06
2014-07,9595.96
2014-08,7903.29
2014-09,3111.53
2014-10,10023.28
2014-11,10214.12
2014-12,17420.42
2015-01,10879.72
2015-02,7209.45
2015-03,7628.18
2015-04,18722.73
2015-05,15500.32
2015-06,20277.5
2015-07,15529.45
2015-08,6262.76
2015-09,3641.14
2015-10,7522.59
2015-11,10075.03
2015-12,16811.13
2016-01,18866.13
2016-02,19618.74
2016-03,26470.76
2016-04,24785.46
2016-05,9927.11
2016-06,10638.17
2016-07,7660.04
2016-08,5965.5
2016-09,2133.18
2016-10,877.28
2016-11,3546.06
2016-12,13745.59
2017-01,12642.02
2017-02,12583.31
2017-03,15501.99
2017-04,21560.21
2017-05,22556.87
2017-06,17233.91
2017-07,14351.57
2017-08,9025.82
2017-09,6807.46
2017-10,6550.26
2017-11,15507.58
2017-12,12013.0
2018-01,13069.07
2018-02,13985.89
2018-03,15498.65
2018-04,18580.92
2018-05,15164.66
2018-06,6918.73
2018-07,5978.99
2018-08,8241.57
2018-09,7906.49
2018-10,11784.43
2018-11,16217.92
2018-12,17372.68
2019-01,18448.96
2019-02,17135.09
2019-03,18085.36
2019-04,19610.04
2019-05,20832.46
2019-06,14841.93
2019-07,9013.12
2019-08,5069.26
2019-09,4504.89
2019-10,9831.79
2019-11,11991.1
2019-12,16264.0
2020-01,17506.29
2020-02,14919.91
2020-03,20360.14
2020-04,21967.46
2020-05,19796.59
2020-06,6552.42
2020-07,8322.7
2020-08,4499.73
2020-09,2561.5
2020-10,9526.94
2020-11,11233.78
2020-12,15152.54
2021-01,12386.78
2021-02,7956.39
2021-03,12254.61
2021-04,15118.84
2021-05,11598.5
2021-06,5140.31
2021-07,10238.14
2021-08,7168.11
2021-09,8253.76
2021-10,8857.95
2021-11,12511.39
2021-12,12278.21
2022-01,11214.18
2022-02,13869.94
2022-03,20342.49
2022-04,23299.44
2022-05,16979.36
2022-06,8007.27
2022-07,4557.91
2022-08,3994.26
2022-09,7463.62
2022-10,9781.94
2022-11,10864.24
2022-12,15723.34
2023-01,18859.0
2023-02,12379.0
2023-03,13570.0
2023-04,24605.0
2023-05,15806.0
2023-06,11760.0
2023-07,20635.0
2023-08,18499.0
2023-09,12322.0
2023-10,13363.0
2023-11,13363.0
2023-12,18120.0
2024-01,20976.0
2024-02,12835.0
2024-03,26050.0
2024-04,22195.0
2024-05,20357.0
2024-06,11376.0
2024-07,17462.0
2024-08,12826.0
2024-09,7675.0
2024-10,6595.0
2024-11,7387.0
2024-12,14678.0
