period,gross-generation
2001-01,17226.26
2001-02,15355.56
2001-03,10648.49
2001-04,50167.68
2001-05,34514.14
2001-06,21475.76
2001-07,14839.39
2001-08,7943.43
2001-09,5820.2
2001-10,6128.28
2001-11,11054.55
2001-12,14226.26
2002-01,14998.99
2002-02,17541.41
2002-03,27312.12
2002-04,61186.87
2002-05,43227.27
2002-06,47866.67
2002-07,13150.51
2002-08,8088.89
2002-09,6507.07
2002-10,10770.71
2002-11,11736.36
2002-12,11736.36
2003-01,12020.2
2003-02,8484.85
2003-03,15828.28
2003-04,34589.9
2003-05,36823.23
2003-06,13950.51
2003-07,6296.97
2003-08,9415.15
2003-09,6069.7
2003-10,26508.08
2003-11,47554.55
2003-12,44617.17
2004-01,25235.35
2004-02,11278.79
2004-03,16330.3
2004-04,51029.29
2004-05,30792.93
2004-06,8929.29
2004-07,11659.6
2004-08,18145.46
2004-09,25822.22
2004-10,8451.52
2004-11,12694.95
2004-12,20592.93
2005-02,10200.0
2005-03,9826.0
2005-04,64435.0
2005-05,42095.0
2005-06,35386.0
2005-07,17576.0
2005-08,6086.0
2005-09,10921.0
2005-10,56639.0
2005-11,54840.0
2005-12,31761.0
2006-01,44463.0
2006-02,28264.0
2006-03,20604.0
2006-04,33961.0
2006-05,35686.0
2006-06,43948.0
2006-07,22889.0
2006-08,26926.0
2006-09,10451.0
2006-10,35002.0
2006-11,35319.0
2006-12,31563.0
2007-01,29917.0
2007-02,11637.0
2007-03,20282.0
2007-04,57173.0
2007-05,61649.0
2007-06,15041.0
2007-07,13767.0
2007-08,11502.0
2007-09,8007.0
2007-10,20250.0
2007-11,36153.0
2007-12,20950.0
2008-01,32011.0
2008-02,17053.0
2008-03,27746.0
2008-04,75537.0
2008-05,27107.0
2008-06,32782.0
2008-07,37899.0
2008-08,54809.0
2008-09,13314.0
2008-10,14110.0
2008-11,23584.0
2008-12,26425.0
2009-01,21750.0
2009-02,12290.0
2009-03,28155.0
2009-04,47793.0
2009-05,37709.0
2009-06,18572.0
2009-07,38602.0
2009-08,22582.0
2009-09,6129.0
2009-10,20784.0
2009-11,26831.0
2009-12,34007.0
2010-01,19965.0
2010-02,16824.0
2010-03,38687.0
2010-04,48920.0
2010-05,25915.0
2010-06,17256.0
2010-07,7792.0
2010-08,12440.0
2010-09,6915.0
2010-10,47095.0
2010-11,33461.0
2010-12,28232.0
2011-01,17222.0
2011-02,11280.0
2011-03,24308.0
2011-04,61281.0
2011-05,81334.0
2011-06,20433.0
2011-07,9634.0
2011-08,11887.0
2011-09,25368.0
2011-10,35052.0
2011-11,10946.0
2011-12,24373.0
2012-01,16719.0
2012-02,13641.0
2012-03,37513.0
2012-04,22328.0
2012-05,36395.0
2012-06,21498.0
2012-07,11775.0
2012-08,6643.0
2012-09,7839.0
2012-10,18717.0
2012-11,15852.0
2012-12,22569.0
2013-01,16680.0
2013-02,20627.0
2013-03,17669.0
2013-04,38334.0
2013-05,37904.0
2013-06,31560.0
2013-07,30353.0
2013-08,9455.0
2013-09,13654.0
2013-10,12059.0
2013-11,17521.0
2013-12,22175.0
2014-01,29708.0
2014-02,12356.0
2014-03,9947.0
2014-04,60129.0
2014-05,55590.0
2014-06,20450.0
2014-07,17327.0
2014-08,16614.0
2014-09,6616.0
2014-10,12566.0
2014-11,14589.0
2014-12,26149.0
2015-01,15625.0
2015-02,11777.0
2015-03,7832.0
2015-04,50930.0
2015-05,29760.0
2015-06,52752.0
2015-07,21936.0
2015-08,10848.0
2015-09,5904.0
2015-10,15456.0
2015-11,15168.0
2015-12,31296.0
2016-01,19776.0
2016-02,27552.0
2016-03,40128.0
2016-04,44208.0
2016-05,26928.0
2016-06,8784.0
2016-07,8208.0
2016-08,7824.0
2016-09,6288.0
2016-10,7344.0
2016-11,11952.0
2016-12,25440.0
2017-01,24202.05
2017-02,24089.66
2017-03,29677.22
2017-04,41275.15
2017-05,43183.16
2017-06,32992.82
2017-07,27474.84
2017-08,17279.15
2017-09,13032.29
2017-10,12539.9
2017-11,29687.92
2017-12,22997.84
2018-01,23191.36
2018-02,24818.28
2018-03,27502.7
2018-04,32972.25
2018-05,26910.04
2018-06,12277.44
2018-07,10609.84
2018-08,14624.85
2018-09,14030.25
2018-10,20911.74
2018-11,28779.06
2018-12,30828.2
2019-01,37554.67
2019-02,34880.14
2019-03,36814.52
2019-04,39918.16
2019-05,42406.52
2019-06,30212.2
2019-07,18347.1
2019-08,10318.96
2019-09,9170.14
2019-10,20013.57
2019-11,24409.06
2019-12,33106.96
2020-01,27800.54
2020-02,23693.28
2020-03,32332.55
2020-04,34885.01
2020-05,31437.6
2020-06,10405.45
2020-07,13216.71
2020-08,7145.72
2020-09,4067.75
2020-10,15129.09
2020-11,17839.6
2020-12,24062.72
2021-01,17160.12
2021-02,11022.44
2021-03,16977.02
2021-04,20945.0
2021-05,16068.07
2021-06,7121.17
2021-07,14183.48
2021-08,9930.4
2021-09,11434.41
2021-10,12271.43
2021-11,17332.75
2021-12,17009.72
2022-01,19184.57
2022-02,23727.89
2022-03,34800.76
2022-04,39859.34
2022-05,29047.31
2022-06,13698.37
2022-07,7797.41
2022-08,6833.15
2022-09,12768.33
2022-10,16734.38
2022-11,18585.92
2022-12,26898.59
2023-01,32496.0
2023-02,19248.0
2023-03,16848.0
2023-04,50016.0
2023-05,22656.0
2023-06,15264.0
2023-07,51216.0
2023-08,27552.0
2023-09,18864.0
2023-10,20784.0
2023-11,17712.0
2023-12,35952.0
2024-01,29059.0
2024-02,19805.0
2024-03,53280.0
2024-04,38611.0
2024-05,42518.0
2024-06,18317.0
2024-07,44669.0
2024-08,29914.0
2024-09,12576.0
2024-10,12509.0
2024-11,11933.0
2024-12,29328.0
