moy,gen_MWh_mean,gen_frac
1,23650.65695652174,0.08223363195952418
2,17810.2625,0.06192650691352768
3,25043.706666666665,0.08707728333783359
4,45853.52708333333,0.15943329088696306
5,37402.34458333333,0.13004842294839483
6,22957.195000000003,0.07982245600718706
7,19634.118749999998,0.06826807805403756
8,15200.298333333334,0.05285162865100107
9,10898.681666666665,0.037894853350935766
10,19909.404166666667,0.06922524891316453
11,22730.655,0.07903477357543227
12,26512.364583333332,0.0921838254019983
